x,y,z,ley,antes_max,Period,valor,valor_acum
24255,24585,3085,0.51,0,1.0,-6148.293066964285,-95642.48943160722
24255,24585,3095,0.52,0,1.0,-4567.167160714287,-100209.65659232151
24255,24585,3105,0.54,0,1.0,-1404.9153482142933,-101614.5719405358
24255,24585,3115,0.54,0,1.0,-1404.9153482142933,-103019.48728875008
24255,24585,3125,0.52,0,1.0,-4567.167160714287,-107586.65444946437
24255,24585,3135,0.51,0,2.0,-5489.547381218111,-113076.20183068249
24255,24585,3145,0.51,0,2.0,-5489.547381218111,-118565.7492119006
24255,24585,3155,0.51,0,2.0,-5489.547381218111,-124055.29659311872
24255,24585,3165,0.5,0,2.0,-6901.266940369894,-130956.56353348862
24255,24585,3175,0.5,0,2.0,-6901.266940369894,-137857.8304738585
24255,24585,3185,0.5,0,2.0,-6901.266940369894,-144759.0974142284
24255,24585,3195,0.5,0,2.0,-6901.266940369894,-151660.36435459828
24255,24585,3205,0.5,0,2.0,-6901.266940369894,-158561.63129496816
24255,24585,3215,0.5,0,2.0,-6901.266940369894,-165462.89823533804
24255,24585,3225,0.5,0,2.0,-6901.266940369894,-172364.16517570792
24255,24585,3235,0.5,0,2.0,-6901.266940369894,-179265.4321160778
24255,24585,3245,0.52,0,2.0,-4077.827822066328,-183343.25993814413
24255,24585,3255,0.47,0,2.0,-11136.425617825267,-194479.6855559694
24255,24585,3265,0.48,0,2.0,-9724.706058673475,-204204.39161464287
24255,24585,3275,0.46,0,3.0,-11203.701050872356,-215408.09266551523
24255,24585,3285,0.47,0,3.0,-9943.23715877256,-225351.3298242878
24255,24585,3295,0.45,0,3.0,-12464.164942972164,-237815.49476725995
24255,24595,3005,0.43,0,0.0,-21052.976355000006,-21052.976355000006
24255,24595,3015,0.43,0,0.0,-21052.976355000006,-42105.95271000001
24255,24595,3025,0.43,0,0.0,-21052.976355000006,-63158.92906500002
24255,24595,3035,0.44,0,0.0,-19282.115339999997,-82441.04440500002
24255,24595,3045,0.44,0,0.0,-19282.115339999997,-101723.15974500001
24255,24595,3055,0.46,0,1.0,-14053.922598214287,-115777.0823432143
24255,24595,3065,0.47,0,1.0,-12472.7966919643,-128249.8790351786
24255,24595,3075,0.48,0,1.0,-10891.670785714294,-139141.5498208929
24255,24595,3085,0.5,0,1.0,-7729.418973214281,-146870.96879410718
24255,24595,3095,0.53,0,1.0,-2986.0412544642904,-149857.01004857148
24255,24595,3105,0.52,0,1.0,-4567.167160714287,-154424.17720928576
24255,24595,3115,0.51,0,1.0,-6148.293066964285,-160572.47027625004
24255,24595,3125,0.52,0,1.0,-4567.167160714287,-165139.63743696432
24255,24595,3135,0.53,0,2.0,-2666.108262914545,-167805.74569987887
24255,24595,3145,0.53,0,2.0,-2666.108262914545,-170471.85396279342
24255,24595,3155,0.53,0,2.0,-2666.108262914545,-173137.96222570798
24255,24595,3165,0.53,0,2.0,-2666.108262914545,-175804.07048862253
24255,24595,3175,0.53,0,2.0,-2666.108262914545,-178470.17875153708
24255,24595,3185,0.53,0,2.0,-2666.108262914545,-181136.28701445163
24255,24595,3195,0.53,0,2.0,-2666.108262914545,-183802.3952773662
24255,24595,3205,0.5,0,2.0,-6901.266940369894,-190703.66221773607
24255,24595,3215,0.52,0,2.0,-4077.827822066328,-194781.4900398024
24255,24595,3225,0.53,0,2.0,-2666.108262914545,-197447.59830271694
24255,24595,3235,0.53,0,2.0,-2666.108262914545,-200113.7065656315
24255,24595,3245,0.48,0,2.0,-9724.706058673475,-209838.41262430497
24255,24595,3255,0.49,0,2.0,-8312.986499521692,-218151.39912382665
24255,24595,3265,0.49,0,2.0,-8312.986499521692,-226464.38562334835
24255,24595,3275,0.49,0,3.0,-7422.309374572939,-233886.6949979213
24255,24595,3285,0.49,0,3.0,-7422.309374572939,-241309.00437249424
24255,24595,3295,0.45,0,3.0,-12464.164942972164,-253773.1693154664
24255,24605,3005,0.44,0,0.0,-19282.115339999997,-19282.115339999997
24255,24605,3015,0.44,0,0.0,-19282.115339999997,-38564.23067999999
24255,24605,3025,0.44,0,0.0,-19282.115339999997,-57846.34601999999
24255,24605,3035,0.44,0,0.0,-19282.115339999997,-77128.46135999999
24255,24605,3045,0.45,0,0.0,-17511.254325,-94639.71568499999
24255,24605,3055,0.46,0,1.0,-14053.922598214287,-108693.63828321427
24255,24605,3065,0.47,0,1.0,-12472.7966919643,-121166.43497517856
24255,24605,3075,0.48,0,1.0,-10891.670785714294,-132058.10576089285
24255,24605,3085,0.49,0,1.0,-9310.544879464296,-141368.65064035714
24255,24605,3095,0.52,0,1.0,-4567.167160714287,-145935.81780107142
24255,24605,3105,0.52,0,1.0,-4567.167160714287,-150502.9849617857
24255,24605,3115,0.51,0,1.0,-6148.293066964285,-156651.27802874998
24255,24605,3125,0.51,0,1.0,-6148.293066964285,-162799.57109571426
24255,24605,3135,0.52,0,2.0,-4077.827822066328,-166877.39891778058
24255,24605,3145,0.52,0,2.0,-4077.827822066328,-170955.2267398469
24255,24605,3155,0.53,0,2.0,-2666.108262914545,-173621.33500276145
24255,24605,3165,0.53,0,2.0,-2666.108262914545,-176287.443265676
24255,24605,3175,0.53,0,2.0,-2666.108262914545,-178953.55152859056
24255,24605,3185,0.52,0,2.0,-4077.827822066328,-183031.37935065688
24255,24605,3195,0.5,0,2.0,-6901.266940369894,-189932.64629102676
24255,24605,3205,0.5,0,2.0,-6901.266940369894,-196833.91323139664
24255,24605,3215,0.53,0,2.0,-2666.108262914545,-199500.0214943112
24255,24605,3225,0.53,0,2.0,-2666.108262914545,-202166.12975722575
24255,24605,3235,0.53,0,2.0,-2666.108262914545,-204832.2380201403
24255,24605,3245,0.48,0,2.0,-9724.706058673475,-214556.94407881377
24255,24605,3255,0.48,0,2.0,-9724.706058673475,-224281.65013748725
24255,24605,3265,0.47,0,2.0,-11136.425617825267,-235418.07575531251
24255,24605,3275,0.48,0,3.0,-8682.773266672744,-244100.84902198525
24255,24605,3285,0.45,0,3.0,-12464.164942972164,-256565.0139649574
24255,24605,3295,0.44,0,3.0,-13724.62883507197,-270289.64280002937
24255,24615,3005,0.4,0,0.0,-26365.559400000006,-26365.559400000006
24255,24615,3015,0.4,0,0.0,-26365.559400000006,-52731.11880000001
24255,24615,3025,0.4,0,0.0,-26365.559400000006,-79096.67820000002
24255,24615,3035,0.4,0,0.0,-26365.559400000006,-105462.23760000002
24255,24615,3045,0.4,0,0.0,-26365.559400000006,-131827.79700000002
